E 16th St,NA,2,NA,NA,1,1,2,1,3,NA,860.5211219248835
E 17th St,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,564.0888897013822
E 18th St,NA,NA,NA,1,1,NA,NA,NA,NA,NA,742.2623896919525
E 29th St,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,403.52847510674
E 31st St,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,921.9556679358467
E 32nd St,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.07746399131634
E 33rd St,NA,NA,NA,2,NA,1,NA,NA,NA,1,670.127021961126
E Broad St,1,2,1,3,5,5,3,1,NA,NA,307.34583554509317
E Highlands St,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.76865684523585
E Hope St,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,201.64743229918227
E Phinney Bay Dr,NA,1,1,NA,NA,NA,NA,NA,NA,NA,948.367174510321
Eastmark Ave,1,NA,NA,NA,NA,NA,NA,NA,1,NA,42.39147919475971
Elizabeth Ave,3,NA,4,4,NA,NA,NA,1,NA,NA,737.4117325357433
Elm St,3,NA,NA,1,1,1,NA,4,NA,NA,366.1311862295168
Farragut Ave,2,3,2,1,2,2,NA,NA,1,NA,2364.067344059269
Farragut St,2,2,1,4,6,NA,5,1,1,NA,437.3533400459017
Ford Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080.6285467768216
Forrest Ave,1,NA,NA,NA,NA,NA,NA,1,NA,NA,336.12562943337923
Galyan Dr,1,NA,NA,NA,NA,NA,NA,NA,1,NA,321.4968291121483
Gregory Way,1,1,1,NA,NA,1,1,1,1,NA,800.1386184109654
H St,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,123.98857172939555
Halverson Ave,1,1,NA,NA,NA,NA,NA,2,1,NA,815.1450118718583
Hanford Ave,1,NA,1,NA,NA,NA,NA,NA,1,NA,594.1787565025238
Harkins St,NA,NA,NA,NA,NA,NA,1,NA,2,NA,77.4222984012982
Harlow Dr,NA,1,NA,NA,1,3,1,3,2,NA,2559.1782853119907
Harry Earl Rd,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,744.3855048831045
Hayward Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,770.5654909012874
Hefner Ave,1,NA,1,NA,NA,NA,NA,1,NA,NA,402.8323931680025
Hefner St,1,NA,1,NA,NA,NA,NA,1,NA,NA,402.8323931680025
Hewitt Ave,4,4,1,4,4,1,NA,6,3,NA,1015.7754563396558
Higbee Rd,NA,NA,2,NA,NA,NA,NA,1,NA,NA,663.4936798565477
High Ave,2,3,2,3,3,3,5,3,1,NA,1505.847362495822
Highland Ave,NA,3,NA,NA,3,1,NA,2,NA,NA,699.7420596109547
Hollis St,NA,NA,1,1,NA,NA,NA,NA,NA,NA,401.13487741672867
Holman St,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,504.5640780650357
Homer Jones Rd,NA,NA,1,NA,1,NA,NA,NA,NA,NA,398.7824604832925
Homer R Jones Dr,NA,NA,1,NA,1,NA,NA,NA,NA,NA,398.7824604832925
Imperial Way,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,228.2353498652591
Imperial Way SW,NA,NA,NA,1,1,NA,NA,3,NA,NA,857.465448735375
Ironsides Ave,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,821.8926283851542
Ivy Rd,1,1,NA,NA,NA,1,NA,NA,NA,NA,609.5101812699032
Jacobsen Blvd,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1212.3410873949838
Jacobson Blvd,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1020.1830566631618
Jenner Ave,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,151.26537022290364
Jones St,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,153.47194963181437
Jones St W,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,153.47194963181437
Juniper St,1,NA,1,NA,NA,1,NA,1,NA,NA,568.6307341042746
K St,6,2,2,NA,3,1,NA,11,2,NA,442.4387456979774
Kean St,2,1,NA,NA,1,NA,NA,2,NA,NA,827.2959329633638
Kitsap Dr,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,227.04193555650153
Kitsap Way,68,76,61,81,68,75,55,65,65,14,4912.335735946021
Lafayette Ave S,1,NA,NA,NA,NA,NA,NA,1,NA,NA,843.5121385830414
Lansing Ave,1,1,NA,NA,NA,NA,NA,NA,NA,NA,342.48157765477504
Lansing Ave W,1,1,NA,NA,NA,NA,NA,NA,NA,NA,342.48157765477504
Lansing St W,1,1,NA,NA,NA,NA,NA,NA,NA,NA,342.48157765477504
Lebo Blvd,3,2,6,4,9,4,5,12,3,NA,1681.9513601152457
Lilac Ln,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,264.9480613459645
Lincoln Ave,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,402.59245091939897
Linden St,1,NA,NA,NA,NA,NA,1,NA,NA,NA,936.7082504897497
Lower Marine Dr,NA,1,NA,NA,NA,1,NA,NA,NA,NA,653.1139250878795
Lyle Ave,1,NA,NA,NA,1,NA,NA,1,NA,NA,630.4647956334718
Madrona Pl,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,155.79000085786285
Magnolia Dr,1,1,NA,NA,NA,NA,1,1,NA,NA,135.34762316040042
Magnuson Way,NA,NA,NA,NA,1,NA,3,NA,NA,NA,1004.4752766022633
Manette Brg,NA,NA,NA,NA,NA,NA,1,NA,3,NA,551.7329171524483
Marguerite Ave,1,NA,NA,NA,NA,NA,NA,1,NA,NA,806.6131458955159
Marine Dr,NA,3,4,13,8,10,10,2,3,1,3083.2529303679767
Marion Ave N,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.0705501776218
Marion Ct,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,63.702829851347715
Maritime Dr SW,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,861.0458212618561
Mc Kenzie Ave,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,566.9030519810464
McKenzie Ave,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,566.9030519810464
Mill Rd,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,257.7553863903711
Mills Rd,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,240.13564283500747
Montgomery Ave N,1,4,2,3,3,2,1,3,2,NA,607.0535090124862
Montview Dr,3,NA,NA,NA,1,NA,NA,1,NA,NA,313.5316506553218
Morgan Rd,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,674.2841172079357
Morgan Rd NW,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,674.2841172079357
N Callow Ave,27,27,18,22,22,9,20,44,9,3,2018.9784483393373
N Cambrian Ave,1,NA,NA,1,NA,NA,NA,4,NA,NA,1942.9639058837674
N Lafayette Ave,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1749.1508981054826
N Marion Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.0705501776218
N Montgomery Ave,3,4,3,4,3,2,1,4,3,NA,1340.2353689229885
N National Ave,7,3,1,5,6,1,NA,9,2,NA,708.7958593891888
N Rainier Ave,3,2,NA,1,1,NA,1,NA,NA,NA,1693.2061998551164
N Summit Ave,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,367.07966536501
N Wycoff Ave,8,1,3,6,2,6,4,5,2,1,2513.1671354663968
Narrows View Ln NE,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,679.182953188283
National Ave N,NA,NA,NA,1,NA,NA,NA,NA,1,NA,7.783657083262736
Naval Ave,16,15,20,21,23,12,6,27,12,1,1684.5892367155577
Navy Yard Hwy,1,NA,NA,1,NA,NA,NA,1,1,NA,1397.302306494318
NE 30th St,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251.616605951532
NE Eastmark St,1,NA,NA,NA,NA,NA,NA,NA,1,NA,42.39147919475971
NE Sheridan Rd,18,5,7,8,8,19,6,19,15,6,2572.304301120742
NE Sylvan Way,14,17,20,23,28,19,13,4,14,1,3692.2741638566713
New Hope Cir,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.22931437774616
Nipsic Pl,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,97.0816997105284
Nollwood Ln,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.8410307561446
Nollwood Ln W,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.8410307561446
Northlake Way NW,1,1,3,1,2,3,2,1,4,NA,2540.8534621507183
Northpark Ln,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.36023203212278
Ohio Ave,3,4,6,1,2,NA,1,NA,NA,NA,778.4847994157536
Olympic Ave,2,4,5,11,5,5,5,2,1,NA,1607.7390352059972
Osprey Cir,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1153.195893922043
Ostrich Bay Ave,7,5,7,4,5,4,3,10,5,2,287.82532694036377
Oyster Bay Ave,1,7,5,11,5,8,7,2,12,2,924.549068482365
Oyster Bay Ave S,1,7,6,11,6,9,7,3,12,2,1680.162946773698
Oyster Bay Ave W,1,7,6,11,6,9,7,3,12,2,1715.5237052580092
Pacific Ave,3,2,1,2,3,2,1,5,2,1,1041.141755818307
Park Ave,6,7,4,3,3,2,4,4,4,NA,1360.833062397453
Parker Pl,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,199.68278630221369
Patten Ave,1,1,1,NA,NA,1,1,NA,2,NA,340.17268105355066
Patten Dr,1,1,1,NA,NA,1,1,NA,2,NA,274.86889389929365
Pearl St,3,3,2,1,3,2,NA,3,1,NA,792.2401222091049
Pennsylvania Ave,1,NA,NA,1,NA,NA,NA,4,NA,NA,968.4324742608455
Perry Ave,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2610.415982707057
Perry Ave NE,2,1,NA,1,2,NA,1,3,NA,NA,3949.565152862768
Pershing Ave,NA,NA,NA,NA,NA,2,NA,1,1,1,186.89406024832707
Peters Rd,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,113.82292098469685
Peters St,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,113.82292098469685
Pine Rd NE,7,4,5,6,6,2,NA,5,2,1,3675.164575977497
Pitt Ave,NA,1,NA,NA,1,NA,NA,NA,NA,NA,803.4138834211652
Pleasant Ave,2,NA,NA,NA,1,NA,NA,NA,NA,NA,587.2252135718052
Poindexter Ave W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,514.5955617495025
Preble St,NA,NA,NA,1,1,NA,NA,NA,NA,NA,877.8692515791496
Price Rd,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1668.8814786472426
Price Rd NW,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,927.3197080257255
Rainier Ave,3,2,NA,1,1,NA,1,NA,NA,NA,1693.2061998551164
Rickey Rd,NA,NA,NA,NA,NA,1,NA,1,NA,NA,809.4155541034673
Rickey Rd NE,NA,NA,NA,NA,NA,1,NA,1,NA,NA,809.4155541034673
Ridgetop Ct,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,107.58368179725888
Ridgetop Ct NE,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,107.58368179725888
Robin Ave,NA,NA,NA,NA,NA,1,NA,1,NA,NA,758.9015038611276
Rocky Point Rd NW,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1697.9833387601568
Rodgers St,1,2,NA,2,1,1,1,NA,NA,NA,1126.9591028887048
Roosevelt Ave,5,NA,1,NA,1,NA,2,2,NA,NA,403.41983483601234
Russell Rd,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1035.0542137673342
S Cambrian Ave,2,1,3,2,2,NA,NA,1,2,NA,520.2733490414636
S Charleston Ave,1,2,2,2,3,2,3,5,2,2,462.26196269505687
