coll_num,hitrun,commercial_inv,passenger_inv,colli_dt,obj_struck,p_dispatch,p_arrive,ped,cyclist,cite_simple,street_primary,street_block,street_secondary,type,pedtype,year,hour,tod,cite_for_dui,cite_for_homicide,cite_for_speed,PLACE,FULLNAME
E705165,FALSE,FALSE,TRUE,2017-08-25T14:00:00Z,NA,2017-08-25T14:05:00Z,2017-08-25T14:19:00Z,FALSE,FALSE,,KITSAP WAY,.,11TH ST,MV Only,NA,2017,14,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,11th St
E705166,FALSE,FALSE,TRUE,2017-08-25T17:56:00Z,NA,2017-08-25T18:02:00Z,2017-08-25T18:07:00Z,FALSE,FALSE,INATTENTION,SR310,4100,PERSHING AVE,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Kitsap Way
E705166,FALSE,FALSE,TRUE,2017-08-25T17:56:00Z,NA,2017-08-25T18:02:00Z,2017-08-25T18:07:00Z,FALSE,FALSE,INATTENTION,SR310,4100,PERSHING AVE,MV Only,NA,2017,17,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 310
E705167,FALSE,FALSE,FALSE,2017-08-25T11:00:00Z,TRAFFIC SIGNAL POLE,2017-08-25T11:03:00Z,2017-08-25T11:05:00Z,FALSE,FALSE,,WARREN AVE,NA,11TH STREET,MV Only,NA,2017,11,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E705168,FALSE,FALSE,FALSE,2017-08-26T21:38:00Z,NA,2017-08-26T21:38:00Z,2017-08-26T21:41:00Z,FALSE,FALSE,INATTENTION,S/B WHEATON WAY,3300,DIBB ST,MV Only,NA,2017,21,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton,NA
E705307,FALSE,FALSE,TRUE,2017-08-21T12:58:00Z,NA,2017-08-21T12:58:00Z,2017-08-21T13:00:00Z,FALSE,FALSE,"FOLLOWING TOO CLOSE, FOLLOWING TOO CLOSE",NB SR 3,NA,KITSAP WAY,MV Only,NA,2017,12,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E705774,FALSE,FALSE,FALSE,2017-08-28T18:03:00Z,NA,2017-08-28T18:05:00Z,2017-08-28T18:27:00Z,FALSE,FALSE,,WHEATON WAY,3300,SYLVAN WAY,MV Only,NA,2017,18,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton,NA
E706227,FALSE,FALSE,FALSE,2017-08-28T14:48:00Z,NA,2017-08-28T14:51:00Z,2017-08-28T14:57:00Z,FALSE,FALSE,,WHEATON WAY,2900,SHERIDAN RD,MV Only,NA,2017,14,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E706228,FALSE,FALSE,FALSE,2017-08-29T11:20:00Z,ROCK BANK OR LEDGE,2017-08-29T11:45:00Z,2017-08-29T11:50:00Z,FALSE,FALSE,,PENDERGAST PKWY,NA,SINCLAIR WAY,MV Only,NA,2017,11,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E706270,FALSE,FALSE,FALSE,2017-08-24T16:37:00Z,NA,2017-08-24T16:37:00Z,2017-08-24T16:44:00Z,FALSE,FALSE,FOLLOWING TOO CLOSE,SB SR3,NA,AUSTIN DR,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,NA
E706271,FALSE,FALSE,TRUE,2017-08-24T21:35:00Z,DEER,2017-08-24T21:43:00Z,2017-08-24T22:15:00Z,FALSE,FALSE,,S SR 3,NA,NA,MV Only,NA,2017,21,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton,State Hwy 3
E706573,FALSE,FALSE,FALSE,2017-08-24T16:52:00Z,NA,2017-08-24T16:53:00Z,2017-08-24T17:01:00Z,FALSE,FALSE,INATTENTION,BURWELL STREE,",",OLYMPIC AVE,MV Only,NA,2017,16,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton,Burwell St
