Colli_Rpt_Num_Colli_Rpt_Num,hitrun,colli_dt,obj_struck,ped,cyclist,cite_simple,type,pedtype,year,hour,tod,cite_for_dui,cite_for_homicide,cite_for_speed,PLACE
EA23815,FALSE,3/11/2020 1:52:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,13,day 0600-1759,FALSE,FALSE,FALSE,Bremerton East UGA
EA23816,FALSE,3/6/2020 4:06:00 PM,NA,FALSE,FALSE,FAIL TO YIELD,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
EA23817,FALSE,3/11/2020 7:30:00 PM,ROADWAY DITCH,FALSE,FALSE,,Car Only,NA,2020,19,night 1800-0559,FALSE,FALSE,FALSE,Other
EA23818,FALSE,3/12/2020 4:12:00 AM,BUILDING,FALSE,FALSE,,Car Only,NA,2020,4,night 1800-0559,FALSE,FALSE,FALSE,Other
EA23819,FALSE,1/26/2020 3:03:00 AM,CONCRETE/JERSEY BARRIER,FALSE,FALSE,,Car Only,NA,2020,3,night 1800-0559,FALSE,FALSE,FALSE,Gorst UGA
EA23820,FALSE,3/13/2020 1:40:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,13,day 0600-1759,FALSE,FALSE,FALSE,Port Orchard UGA
EA23821,FALSE,3/13/2020 11:50:00 PM,FENCE,FALSE,FALSE,DUI,Car Only,NA,2020,23,night 1800-0559,TRUE,FALSE,FALSE,Port Orchard UGA
EA23822,FALSE,3/14/2020 8:54:00 PM,NONE,FALSE,FALSE,,Car Only,NA,2020,20,night 1800-0559,FALSE,FALSE,FALSE,Other
EA23853,FALSE,2/22/2020 3:40:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
EA23877,FALSE,3/15/2020 7:09:00 PM,NA,FALSE,FALSE,FAIL TO OBEY TRAFFIC SIGN/DEVICE/RED LIGHT,Car Only,NA,2020,19,night 1800-0559,FALSE,FALSE,FALSE,City of Bremerton
EA24148,FALSE,3/13/2020 3:44:00 PM,NA,FALSE,FALSE,INATTENTION,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA24149,FALSE,3/13/2020 2:33:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,14,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA24150,FALSE,3/16/2020 2:06:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,14,day 0600-1759,FALSE,FALSE,FALSE,City of Bremerton
EA24351,TRUE,3/11/2020 5:35:00 AM,NONE,FALSE,FALSE,HIT AND RUN,Car Only,NA,2020,5,night 1800-0559,FALSE,FALSE,FALSE,Other
EA24352,FALSE,3/12/2020 6:55:00 AM,NONE,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,6,day 0600-1759,FALSE,FALSE,FALSE,Other
EA24353,FALSE,3/12/2020 1:08:00 PM,LOAD ON CMV,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,13,day 0600-1759,FALSE,FALSE,FALSE,Other
EA24412,FALSE,3/11/2020 12:17:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,12,day 0600-1759,FALSE,FALSE,FALSE,Other
EA24413,FALSE,3/11/2020 6:50:00 PM,METAL SIGN POST,FALSE,FALSE,IMPROPER LANE USE/CHANGE,Car Only,NA,2020,18,night 1800-0559,FALSE,FALSE,FALSE,Silverdale UGA
EA24414,FALSE,3/12/2020 4:53:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,Central Kitsap UGA
EA24415,FALSE,3/12/2020 8:15:00 PM,NA,FALSE,FALSE,FAIL TO OBEY TRAFFIC SIGN/DEVICE/RED LIGHT,Car Only,NA,2020,20,night 1800-0559,FALSE,FALSE,FALSE,Silverdale UGA
EA24416,FALSE,3/12/2020 11:40:00 PM,NA,FALSE,FALSE,"FAIL TO STOP, NO/SUSP LICENSE/ENDORSEMENT",Car Only,NA,2020,23,night 1800-0559,FALSE,FALSE,FALSE,Other
EA24417,FALSE,3/13/2020 3:35:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,15,day 0600-1759,FALSE,FALSE,FALSE,Bremerton West UGA
EA24418,FALSE,3/13/2020 5:33:00 PM,NA,FALSE,FALSE,FOLLOWING TOO CLOSE,Car Only,NA,2020,17,day 0600-1759,FALSE,FALSE,FALSE,Central Kitsap UGA
EA24502,FALSE,3/12/2020 4:16:00 PM,NA,FALSE,FALSE,,Car Only,NA,2020,16,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
